City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
413,Challapata,BO,62.65,broken clouds,-18.9,-66.7667,HOSTAL MARIAN
416,Nouakchott,MR,76.93,overcast clouds,18.0858,-15.9785,HOTEL IMAN
421,Dalby,AU,66.9,few clouds,-27.1833,151.2667,Kobbers Motor Inn Dalby
422,Lubango,AO,64.49,overcast clouds,-14.9172,13.4925,Hotel Serra da Chela
425,Luau,AO,65.35,light rain,-10.7073,22.2247,Casa- Bernardo Cândido
426,Formosa,AR,76.98,broken clouds,-26.1775,-58.1781,Hotel Portal del Sol
428,Dogbo,BJ,78.57,overcast clouds,6.8167,1.7833,Maison des visiteurs / auberge chez ESI ONG/ pro dogbo e.V.
431,Trelew,AR,78.85,broken clouds,-43.249,-65.3051,Hotel Touring Club
432,Te Anau,NZ,58.91,few clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
435,Poum,NC,79.75,scattered clouds,-20.2333,164.0167,Gîte kajeon
438,Banda Aceh,ID,77.36,overcast clouds,5.5577,95.3222,Sulthan Hotel International
445,Wanning,CN,72.64,overcast clouds,18.8003,110.3967,Paradise Hotel
448,Praia Da Vitoria,PT,55.65,few clouds,38.7333,-27.0667,Hotel Branco I
450,Sonoita,MX,79.3,clear sky,31.85,-112.8333,Hotel Nora
453,Castanos,MX,63.99,scattered clouds,26.7833,-101.4167,Bomberos voluntarios castaños coahuila
455,Mayumba,GA,77.72,broken clouds,-3.432,10.6554,LIKWALE LODGE
456,Tabou,CI,79.34,scattered clouds,4.423,-7.3528,hotêl doufoulougou
457,Brindisi,IT,56.19,scattered clouds,40.5833,17.6667,Agriturismo Tibitone
461,Orangeburg,US,62.56,clear sky,33.4918,-80.8557,Palmetto Inn & Suites
462,Meadow Lake,US,65.17,clear sky,34.8014,-106.5436,TumbleWeed RV Park
464,Grand Gaube,MU,73.8,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
465,Richards Bay,ZA,73.22,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
467,Ormara,PK,75.63,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
471,Gat,IL,63.28,few clouds,31.61,34.7642,OlusHome
473,Yulara,AU,57.04,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
474,Kutum,SD,68.63,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
475,Alamogordo,US,61.95,clear sky,32.8995,-105.9603,Fairfield Inn & Suites by Marriott Alamogordo
477,Chicama,PE,64.94,overcast clouds,-7.8447,-79.1469,Balihai Bungalows
484,Ouro Preto Do Oeste,BR,76.19,overcast clouds,-10.7481,-62.2158,Graúna Resort Hotel
485,Kaeo,NZ,68.56,overcast clouds,-35.1,173.7833,Bushido Lodge
487,San Patricio,US,72.01,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
489,Salto,UY,69.96,scattered clouds,-31.3833,-57.9667,Gran Hotel Uruguay
490,Koppies,ZA,68.81,broken clouds,-27.2418,27.5742,Friesland Hotel
494,Tanete,ID,75.11,overcast clouds,-3.9443,119.7848,Wisma Tri Multi
496,Oussouye,SN,78.98,broken clouds,12.485,-16.5469,Auberge du Routard
497,Sao Filipe,CV,76.8,overcast clouds,14.8961,-24.4956,Hotel Xaguate
498,Wenling,CN,59.38,overcast clouds,28.3669,121.36,Hanting Express Wenling Wanchang North Road
500,Arcata,US,54.21,mist,40.8665,-124.0828,"Hampton Inn & Suites Arcata, CA"
501,Salamiyah,SY,60.51,clear sky,35.0113,37.0532,Gondolas Forum grandchildren and grandparents
