City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
234,Mao,ES,39.8885,4.2658,45.16,81,20,8.05,light rain
235,Otradnoye,RU,59.7775,30.8181,24.85,92,98,5.57,overcast clouds
236,Sai Buri,TH,6.7013,101.6168,73.63,97,100,4.74,very heavy rain
237,Provideniya,RU,64.3833,-173.3,-5.22,77,8,5.97,clear sky
238,Derzhavinsk,KZ,51.1,66.3167,8.91,77,100,4.03,overcast clouds
239,Vardo,NO,70.3705,31.1107,17.58,86,75,16.11,light snow
240,Bridgetown,BB,13.1,-59.6167,84.69,70,40,14.97,scattered clouds
241,Puerto Narino,CO,-3.7703,-70.3831,91.35,61,78,2.06,broken clouds
242,Hamilton,US,39.1834,-84.5333,47.25,42,1,13.8,clear sky
243,Aschaffenburg,DE,49.9739,9.1492,35.62,86,100,3.38,overcast clouds
244,Burnie,AU,-41.0667,145.9167,54.21,74,8,6.49,clear sky
245,Kawalu,ID,-7.3817,108.2082,70.52,96,38,1.14,scattered clouds
246,Tuatapere,NZ,-46.1333,167.6833,58.75,46,22,3.49,few clouds
247,Gushikawa,JP,26.3544,127.8686,69.8,73,40,10.36,light rain
248,Iqaluit,CA,63.7506,-68.5145,24.53,68,90,11.5,overcast clouds
249,Makakilo City,US,21.3469,-158.0858,79.12,70,1,9.22,clear sky
250,Skawina,PL,49.9752,19.8287,37.58,100,90,10.36,mist
251,Matiguas,NI,12.8373,-85.4622,84.94,53,0,9.31,clear sky
252,Massaguet,TD,12.4755,15.4365,80.64,12,70,9.78,broken clouds
253,Severo-Kurilsk,RU,50.6789,156.125,32.68,93,100,11.95,light snow
254,Farmers Branch,US,32.9265,-96.8961,66.99,38,1,11.5,clear sky
255,El Tigre,VE,8.8875,-64.2454,83.08,59,99,9.69,overcast clouds
256,Rio Grande,BR,-32.035,-52.0986,77.11,88,100,11.92,light rain
257,Lompoc,US,34.6391,-120.4579,79.11,18,1,5.75,clear sky
258,Limon,CR,10.0,-83.0333,78.69,83,75,8.05,broken clouds
259,Mehamn,NO,71.0357,27.8492,14.18,78,36,17.27,scattered clouds
260,Ahipara,NZ,-35.1667,173.1667,68.65,64,92,2.13,overcast clouds
261,Ixtapa,MX,20.7,-105.2,81.63,61,20,11.5,few clouds
262,Hovd,MN,48.0056,91.6419,15.64,35,12,0.94,few clouds
263,Birjand,IR,32.8663,59.2211,43.27,49,0,9.22,clear sky
264,Spring Valley,US,36.108,-115.245,70.72,11,1,0.0,clear sky
265,Buchanan,LR,5.8808,-10.0467,78.76,83,25,9.08,scattered clouds
266,Goias,BR,-15.5807,-49.6362,77.34,81,65,4.18,broken clouds
267,Pisco,PE,-13.7,-76.2167,71.65,68,0,23.02,clear sky
268,Carbonia,IT,39.1672,8.5222,45.25,82,100,11.36,overcast clouds
269,Puerto Madryn,AR,-42.7692,-65.0385,74.32,28,93,6.69,overcast clouds
270,Caravelas,BR,-17.7125,-39.2481,74.3,96,56,14.63,broken clouds
271,Chuy,UY,-33.6971,-53.4616,66.07,96,100,4.14,light rain
272,Careiro Da Varzea,BR,-3.2003,-59.8119,84.81,69,96,3.8,overcast clouds
273,Gwadar,PK,25.1216,62.3254,74.97,64,0,5.82,clear sky
274,Muscatine,US,41.4667,-91.1335,44.19,24,1,11.5,clear sky
275,Kristiinankaupunki,FI,62.2743,21.376,23.63,65,100,8.05,overcast clouds
276,Henties Bay,NA,-22.116,14.2845,60.13,91,0,7.81,clear sky
277,Teguise,ES,29.0605,-13.564,61.02,63,20,14.97,few clouds
278,Shenjiamen,CN,29.9576,122.298,61.34,89,100,7.85,overcast clouds
279,Strezhevoy,RU,60.7333,77.5889,17.58,96,100,5.73,light snow
280,Hofn,IS,64.2539,-15.2082,31.17,97,100,9.8,snow
281,Nome,US,64.5011,-165.4064,-21.93,76,1,3.44,clear sky
282,Nishihara,JP,26.1842,127.7558,69.85,73,90,13.8,light intensity shower rain
283,Wabash,US,40.7978,-85.8205,37.83,53,32,15.9,scattered clouds
284,Baykit,RU,61.67,96.37,14.74,96,100,1.57,light snow
285,Ouegoa,NC,-20.35,164.4333,81.81,72,66,9.24,broken clouds
286,Raduzhnyy,RU,62.0961,77.475,4.78,91,100,3.94,overcast clouds
287,Valparaiso,CL,-33.0393,-71.6273,82.04,30,0,16.11,clear sky
288,Bonthe,SL,7.5264,-12.505,80.1,80,6,6.06,clear sky
289,Macia,MZ,-25.0269,33.0989,71.35,58,0,12.28,clear sky
290,Husavik,IS,66.0449,-17.3389,28.31,95,100,5.06,light snow
